name,parent_region,aliases,description,note
ヨーロッパ,ユーラシア,,ヨーロッパ全域,01 の次に import
東アジア,ユーラシア,,中国と周辺の東方アジア,01 の次に import
東南アジア,ユーラシア,,大陸部と島嶼部を含む東南アジア,01 の次に import
南アジア,ユーラシア,,インド亜大陸を中心とする地域,01 の次に import
中央アジア,ユーラシア,,内陸アジアの遊牧と交易の地域,01 の次に import
西アジア,ユーラシア,,中東と近接地域,01 の次に import
シベリア,ユーラシア,,北アジアの広域地域,01 の次に import
北アフリカ,アフリカ,,地中海沿岸の北アフリカ,01 の次に import
西アフリカ,アフリカ,,サハラ南縁からギニア湾に至る地域,01 の次に import
東アフリカ,アフリカ,,紅海とインド洋に面する東アフリカ,01 の次に import
中央アフリカ,アフリカ,,コンゴ盆地を含む中部アフリカ,01 の次に import
南部アフリカ,アフリカ,,アフリカ南部の地域,01 の次に import
北米東部,北アメリカ,,大西洋岸と五大湖周辺,01 の次に import
北米西部,北アメリカ,,太平洋岸と内陸西部,01 の次に import
メソアメリカ,中央アメリカ・カリブ,,先コロンブス期文明の中核地域,01 の次に import
カリブ海地域,中央アメリカ・カリブ,,カリブ諸島と周辺海域,01 の次に import
アンデス,南アメリカ,,アンデス山脈沿いの高地文明圏,01 の次に import
アマゾニア,南アメリカ,,アマゾン流域の広域地域,01 の次に import
南米南部,南アメリカ,,ラプラタ流域と南部円錐,01 の次に import
オーストラリア,オセアニア,,オーストラリア大陸,01 の次に import
メラネシア,オセアニア,,ニューギニアと周辺島嶼,01 の次に import
ポリネシア,オセアニア,,太平洋の広域島嶼文化圏,01 の次に import
ミクロネシア,オセアニア,,西太平洋北部の島嶼地域,01 の次に import
