name,parent_region,aliases,description,note
日本,東アジア,,日本列島を中心とする地域,02 の次に import
中国,東アジア,,中国本土を中心とする地域,02 の次に import
朝鮮半島,東アジア,,朝鮮半島全域,02 の次に import
モンゴル,東アジア,,モンゴル高原を中心とする地域,02 の次に import
満洲,東アジア,,中国東北部と周辺,02 の次に import
チベット,東アジア,,チベット高原地域,02 の次に import
台湾,東アジア,,台湾島と周辺諸島,02 の次に import
ベトナム,東南アジア,,ベトナム地域,02 の次に import
タイ,東南アジア,,タイ地域,02 の次に import
カンボジア,東南アジア,,クメール地域,02 の次に import
ミャンマー,東南アジア,,ビルマ地域,02 の次に import
マレー世界,東南アジア,,マレー半島と島嶼部の広域文化圏,02 の次に import
インド,南アジア,,インド地域,02 の次に import
スリランカ,南アジア,,スリランカ島,02 の次に import
ネパール,南アジア,,ヒマラヤ中部南麓,02 の次に import
パキスタン,南アジア,,インダス流域西部,02 の次に import
ベンガル,南アジア,,ガンジス下流域,02 の次に import
トルキスタン,中央アジア,,中央アジアの歴史的広域名,02 の次に import
ソグディアナ,中央アジア,,シルダリアとアムダリア間の交易地域,02 の次に import
フェルガナ,中央アジア,,フェルガナ盆地,02 の次に import
イラン,西アジア,,イラン高原を中心とする地域,02 の次に import
メソポタミア,西アジア,,チグリスとユーフラテス流域,02 の次に import
レバント,西アジア,,東地中海沿岸,02 の次に import
アナトリア,西アジア,,小アジア半島,02 の次に import
アラビア,西アジア,,アラビア半島,02 の次に import
コーカサス,西アジア,,黒海とカスピ海に挟まれた地域,02 の次に import
ギリシア,ヨーロッパ,,ギリシア世界,02 の次に import
イタリア,ヨーロッパ,,イタリア半島を中心とする地域,02 の次に import
イベリア半島,ヨーロッパ,,スペインとポルトガルを含む半島地域,02 の次に import
ガリア,ヨーロッパ,,古代ローマ期のガリア地域,02 の次に import
ブリテン諸島,ヨーロッパ,,グレートブリテン島とアイルランド島,02 の次に import
ゲルマン地域,ヨーロッパ,,中部欧州のゲルマン系地域,02 の次に import
スカンディナヴィア,ヨーロッパ,,北欧の広域地域,02 の次に import
東欧,ヨーロッパ,,東ヨーロッパの広域地域,02 の次に import
ルーシ,ヨーロッパ,,キエフ公国からロシア世界に連なる地域,02 の次に import
エジプト,北アフリカ,,ナイル流域の中心地域,02 の次に import
マグリブ,北アフリカ,,北西アフリカの広域名,02 の次に import
ヌビア,北アフリカ,,ナイル中流域南部,02 の次に import
サヘル,西アフリカ,,サハラ南縁の帯状地域,02 の次に import
ニジェール川流域,西アフリカ,,西アフリカ内陸文明圏,02 の次に import
エチオピア高原,東アフリカ,,アクスムやエチオピア史の中核地域,02 の次に import
スワヒリ海岸,東アフリカ,,東アフリカ沿岸交易圏,02 の次に import
コンゴ盆地,中央アフリカ,,中央アフリカ熱帯雨林地域,02 の次に import
南アフリカ,南部アフリカ,,アフリカ南端地域,02 の次に import
アメリカ合衆国東部,北米東部,,北米東部の主要地域,02 の次に import
アメリカ合衆国西部,北米西部,,北米西部の主要地域,02 の次に import
五大湖地域,北米東部,,五大湖周辺,02 の次に import
メキシコ高原,メソアメリカ,,中央メキシコの高原地帯,02 の次に import
ユカタン,メソアメリカ,,ユカタン半島,02 の次に import
キューバ,カリブ海地域,,カリブ海最大の島,02 の次に import
ペルー高地,アンデス,,アンデス中部高地,02 の次に import
チリ,南米南部,,南米西南部の細長い地域,02 の次に import
ラプラタ流域,南米南部,,パラナ川とラプラタ川流域,02 の次に import
ニューサウスウェールズ,オーストラリア,,オーストラリア東南部,02 の次に import
ニューギニア,メラネシア,,ニューギニア島,02 の次に import
ハワイ,ポリネシア,,ハワイ諸島,02 の次に import
グアム,ミクロネシア,,マリアナ諸島南部,02 の次に import
