name,aliases,note,birth_label,birth_calendar_era,birth_start_year,birth_end_year,birth_is_approximate,death_label,death_calendar_era,death_start_year,death_end_year,death_is_approximate,regions,religions,sects,periods
ムハンマド・イブン＝アブドゥッラーフ,Muhammad,Pantheon職業: Religious Figure / 出生国: Saudi Arabia / 出生地: Mecca,,CE,570,,false,,CE,632,,false,,,,
釈迦,The Buddha,Pantheon職業: Philosopher / 出生国: Nepal / 出生地: Lumbini,,BCE,566,,false,,BCE,452,,false,,,,
アイザック・ニュートン,Isaac Newton,Pantheon職業: Physicist / 出生国: United Kingdom / 出生地: Woolsthorpe-by-Colsterworth,,CE,1643,,false,,CE,1726,,false,,,,
チンギス・カン,Genghis Khan,Pantheon職業: Military Personnel / 出生国: Mongolia / 出生地: Khentii Mountains,,CE,1162,,false,,CE,1227,,false,,,,
クレオパトラ7世,Cleopatra,Pantheon職業: Politician / 出生国: Egypt / 出生地: Alexandria,,BCE,69,,false,,BCE,30,,false,,,,
マハトマ・ガンディー,Mahatma Gandhi,Pantheon職業: Social Activist / 出生国: India / 出生地: Porbandar,,CE,1869,,false,,CE,1948,,false,,,,
フランシスコ,Pope Francis,Pantheon職業: Religious Figure / 出生国: Argentina / 出生地: Buenos Aires,,CE,1936,,false,,CE,2025,,false,,,,
聖母マリア,Mary,Pantheon職業: Religious Figure / 出生国: Israel / 出生地: Herodian kingdom,,BCE,100,,false,,CE,100,,false,,,,
ルートヴィヒ・ヴァン・ベートーヴェン,Ludwig van Beethoven,Pantheon職業: Composer / 出生国: Germany / 出生地: Bonn,,CE,1770,,false,,CE,1827,,false,,,,
レオナルド・ダ・ヴィンチ,Leonardo da Vinci,Pantheon職業: Inventor / 出生国: Italy / 出生地: Anchiano,,CE,1452,,false,,CE,1519,,false,,,,
アリストテレス,Aristotle,Pantheon職業: Philosopher / 出生国: Greece / 出生地: Stagira (ancient city),,BCE,384,,false,,BCE,321,,false,,,,
マルコ・ポーロ,Marco Polo,Pantheon職業: Explorer / 出生国: Italy / 出生地: Venice,,CE,1254,,false,,CE,1324,,false,,,,
エリザベス1世,Elizabeth I of England,Pantheon職業: Politician / 出生国: United Kingdom / 出生地: Palace of Placentia,,CE,1533,,false,,CE,1603,,false,,,,
プラトン,Plato,Pantheon職業: Philosopher / 出生国: Greece / 出生地: Classical Athens,,BCE,427,,false,,BCE,347,,false,,,,
アレクサンドロス3世,Alexander the Great,Pantheon職業: Military Personnel / 出生国: Greece / 出生地: Pella,,BCE,356,,false,,BCE,323,,false,,,,
ペトロ,Saint Peter,Pantheon職業: Religious Figure / 出生地: Bethsaida,,BCE,1,,false,,CE,67,,false,,,,
ホメーロス,Homer,Pantheon職業: Writer / 出生国: Greece / 出生地: Chios,,BCE,800,,false,,BCE,750,,false,,,,
ヴォルフガング・アマデウス・モーツァルト,Wolfgang Amadeus Mozart,Pantheon職業: Composer / 出生国: Austria / 出生地: Mozart's birthplace,,CE,1756,,false,,CE,1791,,false,,,,
ナポレオン・ボナパルト,Napoleon,Pantheon職業: Politician / 出生国: France / 出生地: Ajaccio,,CE,1769,,false,,CE,1821,,false,,,,
ガリレオ・ガリレイ,Galileo Galilei,Pantheon職業: Astronomer / 出生国: Italy / 出生地: Pisa,,CE,1564,,false,,CE,1642,,false,,,,
