id,name,reading,description,note,from_calendar_era,from_year,from_is_approximate,to_calendar_era,to_year,to_is_approximate
60,アクスム王国,,エチオピア国家,,CE,100,0,CE,940,0
3,アケメネス朝ペルシア帝国,,古代オリエント最大の帝国,,BCE,550,0,BCE,330,0
64,アステカ帝国,,中央メキシコ国家,,CE,1428,0,CE,1521,0
35,アメリカ合衆国,,連邦国家,,CE,1776,0,CE,9999,0
23,イギリス連合王国,,現代英国,,CE,1801,0,CE,9999,0
78,イスラエル,,ユダヤ国家,,CE,1948,0,CE,9999,0
16,イスラム帝国,,広域イスラム国家,,CE,661,0,CE,1258,0
41,イタリア共和国,,現代国家,,CE,1946,0,CE,9999,0
40,イタリア王国,,統一王国,,CE,1861,0,CE,1946,0
73,イラン・イスラム共和国,,革命後国家,,CE,1979,0,CE,9999,0
72,イラン帝国（パフラヴィー朝体制）,,近代イラン国家,,CE,1925,0,CE,1979,0
65,インカ帝国,,アンデス帝国,,CE,1438,0,CE,1533,0
21,イングランド王国,,王国国家,,CE,927,0,CE,1707,0
14,インド共和国,,現代インド国家,,CE,1950,0,CE,9999,0
54,ウイグル可汗国,,中央アジア国家,,CE,744,0,CE,840,0
17,オスマン帝国,,三大陸帝国,,CE,1299,0,CE,1922,0
45,オランダ共和国,,商業国家,,CE,1581,0,CE,1795,0
46,オランダ王国,,近代国家,,CE,1815,0,CE,9999,0
67,オーストリア帝国,,多民族帝国,,CE,1804,0,CE,1867,0
68,オーストリア＝ハンガリー帝国,,二重帝国,,CE,1867,0,CE,1918,0
83,カナダ連邦,,連邦国家,,CE,1867,0,CE,9999,0
59,カルタゴ,,フェニキア系国家,,BCE,814,0,BCE,146,0
47,カロリング帝国,,"フランク王国を継承し、カール大帝（シャルルマーニュ）が築いた。中世初期ヨーロッパの政治的・文化的基盤を形成し、後の神聖ローマ帝国の前身ともみなされる。
中心地：アーヘン（現在のドイツ）",,CE,800,0,CE,888,1
69,キエフ公国,,東スラヴ国家,,CE,882,0,CE,1240,0
56,クメール帝国,,アンコール文明国家,,CE,802,0,CE,1431,0
12,グプタ帝国,,古代インド黄金期,,CE,320,0,CE,550,0
22,グレートブリテン王国,,統合王国,,CE,1707,0,CE,1801,0
79,サウジアラビア王国,,イスラム国家,,CE,1932,0,CE,9999,0
51,ササン朝ペルシア帝国,,イラン帝国,,CE,224,0,CE,651,0
86,サファヴィー朝ペルシア,,"イラン史における主要なイスラーム王朝国家であり、シーア派十二イマーム派を国教として確立した最初の政権である。16世紀から18世紀にかけて、イランの政治的・文化的統一を再興し、近代イラン国家の基盤を築いた。
首都: タブリーズ → ガズヴィーン → イスファハーン",,CE,1501,0,CE,1736,0
57,シュリーヴィジャヤ王国,,海洋国家,,CE,650,0,CE,1377,0
42,スペイン王国,,近世国家,,CE,1479,0,CE,9999,0
135,セルジューク系国家,,"ルーム・セルジューク朝（1077〜1308）
→ アナトリア（現在のトルコ）

キルマン・セルジューク朝（1048〜1187）
→ イラン南東部

シリア・セルジューク朝（1094〜1117）
→ シリア周辺

「セルジューク朝＝単一国家」ではなく広域ネットワーク型のトルコ系政権群",,CE,1048,0,CE,1308,0
48,セレウコス朝帝国,,アレクサンドロス帝国後継国家,,BCE,312,0,BCE,63,0
36,ソビエト連邦,,社会主義国家,,CE,1922,0,CE,1991,0
62,ソンガイ帝国,,西アフリカ国家,,CE,1464,0,CE,1591,0
77,タイ王国,,東南アジア国家,,CE,1782,0,CE,9999,0
87,ティムール帝国,,"中央アジアの征服者ティムールによって建国されたイスラーム王朝である。
首都サマルカンドを中心に、西アジアから南アジア、ロシア南部にまで勢力を拡大し、モンゴル帝国の後継国家の一つと見なされる。
文化的繁栄と建築遺産で知られ、後のムガル帝国などに影響を与えた。",,CE,1370,0,CE,1507,0
18,トルコ共和国,,近代国家,,CE,1923,0,CE,9999,0
26,ドイツ帝国,,統一国家,,CE,1871,0,CE,1918,0
27,ドイツ連邦共和国,,現代ドイツ,,CE,1949,0,CE,9999,0
38,ナチス・ドイツ,,全体主義国家,,CE,1933,0,CE,1945,0
50,パルティア王国,,イラン系国家,,BCE,247,0,CE,224,0
19,フランク王国,,ゲルマン国家,,CE,481,0,CE,843,0
25,フランス共和国,,革命後国家,,CE,1792,0,CE,9999,0
24,フランス王国,,中世国家,,CE,843,0,CE,1792,0
136,フランス第一帝政,,,,CE,1804,0,CE,1814,0
137,フランス第二帝政,,,,CE,1852,0,CE,1870,0
80,ブラジル帝国,,南米帝国,,CE,1822,0,CE,1889,0
81,ブラジル連邦共和国,,現代国家,,CE,1889,0,CE,9999,0
49,プトレマイオス朝エジプト,,ヘレニズム国家,,BCE,305,0,BCE,30,0
66,プロイセン王国,,ドイツ系国家,,CE,1701,0,CE,1918,0
76,ベトナム社会主義共和国,,統一国家,,CE,1976,0,CE,9999,0
44,ポルトガル共和国,,現代国家,,CE,1910,0,CE,9999,0
43,ポルトガル王国,,海洋国家,,CE,1139,0,CE,1910,0
11,マウリヤ帝国,,インド統一帝国,,BCE,322,0,BCE,185,0
4,マケドニア帝国,,アレクサンドロスの帝国,,BCE,336,0,BCE,323,0
58,マジャパヒト王国,,インドネシア国家,,CE,1293,0,CE,1527,0
134,マムルーク国,,"エジプト・シリアを中心に成立したイスラーム王朝
「マムルーク（奴隷軍人）」出身の軍人が政権を握ったのが特徴
首都はカイロ
モンゴル軍を撃退（アイン・ジャールートの戦い：1260年）し、イスラーム世界防衛の中心となった",,CE,1250,0,CE,1517,0
63,マヤ文明諸都市国家,,メソアメリカ文明,,BCE,2000,0,CE,1697,0
61,マリ帝国,,西アフリカ帝国,,CE,1235,0,CE,1600,0
13,ムガル帝国,,イスラム王朝国家,,CE,1526,0,CE,1857,0
82,メキシコ合衆国,,北米国家,,CE,1821,0,CE,9999,0
70,モスクワ大公国,,ロシア前身国家,,CE,1283,0,CE,1547,0
55,モンゴル帝国,,史上最大級の帝国,,CE,1206,0,CE,1368,0
138,ヤマト政権（日本）,,,,CE,301,1,CE,700,1
28,ヤマト王権,,古代政権,,CE,250,0,CE,710,0
71,ロシア帝国,,帝政国家,,CE,1721,0,CE,1917,0
37,ロシア連邦,,現代国家,,CE,1991,0,CE,9999,0
5,ローマ共和国,,共和政ローマ,,BCE,509,0,BCE,27,0
6,ローマ帝国,,地中海世界の帝国,,BCE,27,0,CE,476,0
39,ワイマール共和国,,ドイツ共和国,,CE,1919,0,CE,1933,0
10,中華人民共和国,,社会主義国家,,CE,1949,0,CE,9999,0
8,中華帝国体制,,皇帝中心の国家体制,,BCE,221,0,CE,1912,0
132,中華民国,ちゅうかみんこく,辛亥革命後の国家,,CE,1912,0,CE,,0
129,元帝国,げん,モンゴル系王朝,,CE,1271,0,CE,1368,0
120,前蜀,ぜんしょく,四川の国家,,CE,907,0,CE,925,0
52,匈奴帝国,,遊牧帝国,,BCE,209,0,CE,93,0
106,北周,ほくしゅう,隋の前身国家,,CE,557,0,CE,581,0
124,北宋,ほくそう,中国再統一王朝,,CE,960,0,CE,1127,0
105,北斉,ほくせい,東魏の後継国家,,CE,550,0,CE,577,0
123,北漢,ほくかん,十国最後の国家,,CE,951,0,CE,979,0
102,北魏,ほくぎ,北朝の中心王朝,,CE,386,0,CE,534,0
115,南唐,なんとう,十国の一つ,,CE,937,0,CE,975,0
125,南宋,なんそう,江南に移った宋,,CE,1127,0,CE,1279,0
119,南漢,なんかん,広東の国家,,CE,917,0,CE,971,0
2,古代エジプト統一国家,,ナイル文明の統一国家,,BCE,3100,0,BCE,30,0
95,呉,ご,三国時代の江南国家,,CE,222,0,CE,280,0
116,呉越,ごえつ,浙江地域の国家,,CE,907,0,CE,978,0
114,呉（十国）,ご,江南の地方政権,,CE,902,0,CE,937,0
90,周,しゅう,西周・東周を含む長期王朝,,BCE,1046,0,BCE,256,0
108,唐帝国,とう,東アジア最大級の帝国,,CE,618,0,CE,907,0
89,商,しょう,殷とも呼ばれる古代王朝,,BCE,1600,0,BCE,1046,0
85,国際連合,,国際機関,,CE,1945,0,CE,9999,0
84,国際連盟,,第一次大戦後の国際機構,,CE,1920,0,CE,1946,0
88,夏,か,中国最古の王朝とされる（伝説含む）,,BCE,2070,0,BCE,1600,0
33,大日本帝国,,近代帝国,,CE,1868,0,CE,1947,0
74,大韓民国,,韓国,,CE,1948,0,CE,9999,0
98,宋（南朝）,そう,南朝最初の王朝,,CE,420,0,CE,479,0
31,室町幕府,,足利政権,,CE,1333,0,CE,1573,0
29,律令国家（日本）,,中央集権体制,,CE,701,0,CE,1185,0
113,後周,こうしゅう,五代最後の王朝,,CE,951,0,CE,960,0
110,後唐,こうとう,五代の王朝,,CE,923,0,CE,936,0
111,後晋,こうしん,五代の王朝,,CE,936,0,CE,947,0
109,後梁,こうりょう,五代最初の王朝,,CE,907,0,CE,923,0
112,後漢,こうかん,五代の王朝,,CE,947,0,CE,951,0
121,後蜀,こうしょく,四川の国家,,CE,934,0,CE,965,0
99,斉（南朝）,せい,南朝の一王朝,,CE,479,0,CE,502,0
34,日本国,,戦後国家,,CE,1947,0,CE,9999,0
130,明帝国,みん,漢民族王朝,,CE,1368,0,CE,1644,0
75,朝鮮民主主義人民共和国,,北朝鮮,,CE,1948,0,CE,9999,0
7,東ローマ帝国,,ビザンツ帝国,,CE,330,0,CE,1453,0
97,東晋,とうしん,南遷した晋王朝,,CE,317,0,CE,420,0
