polity_id,polity_name,region_id,region_name
2,古代エジプト統一国家,17,北アフリカ
2,古代エジプト統一国家,31,エジプト文明圏
3,アケメネス朝ペルシア帝国,11,中央アジア
3,アケメネス朝ペルシア帝国,12,西アジア（中東）
4,マケドニア帝国,14,南ヨーロッパ
5,ローマ共和国,12,西アジア（中東）
5,ローマ共和国,13,西ヨーロッパ
5,ローマ共和国,14,南ヨーロッパ
5,ローマ共和国,16,東ヨーロッパ
5,ローマ共和国,17,北アフリカ
6,ローマ帝国,12,西アジア（中東）
6,ローマ帝国,13,西ヨーロッパ
6,ローマ帝国,14,南ヨーロッパ
6,ローマ帝国,16,東ヨーロッパ
6,ローマ帝国,17,北アフリカ
7,東ローマ帝国,12,西アジア（中東）
7,東ローマ帝国,14,南ヨーロッパ
7,東ローマ帝国,17,北アフリカ
8,中華帝国体制,8,東アジア
10,中華人民共和国,8,東アジア
11,マウリヤ帝国,10,南アジア
12,グプタ帝国,10,南アジア
13,ムガル帝国,10,南アジア
14,インド共和国,10,南アジア
15,正統カリフ国家,12,西アジア（中東）
16,イスラム帝国,12,西アジア（中東）
17,オスマン帝国,12,西アジア（中東）
17,オスマン帝国,14,南ヨーロッパ
17,オスマン帝国,16,東ヨーロッパ
17,オスマン帝国,17,北アフリカ
18,トルコ共和国,12,西アジア（中東）
19,フランク王国,13,西ヨーロッパ
20,神聖ローマ帝国,34,中央ヨーロッパ
21,イングランド王国,15,北ヨーロッパ
22,グレートブリテン王国,15,北ヨーロッパ
23,イギリス連合王国,15,北ヨーロッパ
24,フランス王国,13,西ヨーロッパ
25,フランス共和国,13,西ヨーロッパ
26,ドイツ帝国,34,中央ヨーロッパ
27,ドイツ連邦共和国,34,中央ヨーロッパ
28,ヤマト王権,8,東アジア
29,律令国家（日本）,8,東アジア
30,鎌倉幕府,8,東アジア
31,室町幕府,8,東アジア
32,江戸幕府,8,東アジア
33,大日本帝国,8,東アジア
34,日本国,8,東アジア
35,アメリカ合衆国,5,北アメリカ
36,ソビエト連邦,35,ユーラシア北部
37,ロシア連邦,35,ユーラシア北部
38,ナチス・ドイツ,34,中央ヨーロッパ
39,ワイマール共和国,34,中央ヨーロッパ
40,イタリア王国,14,南ヨーロッパ
41,イタリア共和国,14,南ヨーロッパ
42,スペイン王国,14,南ヨーロッパ
43,ポルトガル王国,14,南ヨーロッパ
44,ポルトガル共和国,14,南ヨーロッパ
45,オランダ共和国,15,北ヨーロッパ
46,オランダ王国,15,北ヨーロッパ
47,カロリング帝国,13,西ヨーロッパ
