id,title,polities,reading,description,note
4,上皇（院）,"ヤマト政権（日本）, ヤマト王権, 大日本帝国, 室町幕府, 律令国家（日本）, 日本国, 江戸幕府, 鎌倉幕府",じょうこう,退位後も政治を行う,
3,中華皇帝,"中華帝国体制, 元帝国, 前蜀, 北周, 北宋, 北斉, 北漢, 北魏, 南唐, 南宋, 南漢, 呉, 呉越, 呉（十国）, 唐帝国, 宋（南朝）, 後周, 後唐, 後晋, 後梁, 後漢, 後蜀, 斉（南朝）, 明帝国, 東晋, 東魏, 梁, 楚, 清帝国, 漢帝国, 秦帝国, 荊南, 蜀漢, 西夏, 西晋, 西魏, 遼, 金, 閩, 陳, 隋帝国, 魏",ちゅうかこうてい,中国の最高支配者,
8,執権,鎌倉幕府,しっけん,鎌倉幕府の実権者,
1,天皇,"ヤマト政権（日本）, ヤマト王権, 大日本帝国, 室町幕府, 律令国家（日本）, 日本国, 江戸幕府, 鎌倉幕府",てんのう,"古代〜戦前
　国を治めるトップ（政治権力あり）

現在
　象徴（政治権力なし）

世襲（血筋で受け継ぐ）
世界で最も長く続く王家のひとつとされる",
6,太政大臣,"ヤマト政権（日本）, ヤマト王権, 大日本帝国, 室町幕府, 律令国家（日本）, 江戸幕府, 鎌倉幕府",だじょうだいじん,政治の最高責任者,
11,宰相（丞相）,"中華帝国体制, 元帝国, 前蜀, 北周, 北宋, 北斉, 北漢, 北魏, 南唐, 南宋, 南漢, 呉, 呉越, 呉（十国）, 唐帝国, 宋（南朝）, 後周, 後唐, 後晋, 後梁, 後漢, 後蜀, 斉（南朝）, 明帝国, 東晋, 東魏, 梁, 楚, 漢帝国, 秦帝国, 荊南, 蜀漢, 西夏, 西晋, 西魏, 遼, 金, 閩, 陳, 隋帝国, 魏",,行政トップ（明で廃止）,
10,将軍,江戸幕府,しょうぐん,江戸幕府の将軍,
7,征夷大将軍,"室町幕府, 律令国家（日本）, 江戸幕府, 鎌倉幕府",せいいたいしょうぐん,武士のトップ（幕府の長）,
2,摂政,"ヤマト政権（日本）, ヤマト王権, 室町幕府, 律令国家（日本）, 江戸幕府, 鎌倉幕府",せっしょう,天皇が自分で政治（または国事行為）ができないときに、代わりに行う人,
12,科挙官僚,"元帝国, 前蜀, 北宋, 北漢, 南唐, 南宋, 南漢, 呉越, 呉（十国）, 唐帝国, 後周, 後唐, 後晋, 後梁, 後漢, 後蜀, 明帝国, 楚, 清帝国, 荊南, 西夏, 遼, 金, 閩, 隋帝国",,試験による官僚,
9,管領,室町幕府,かんれい,室町幕府の補佐,
5,関白,"室町幕府, 律令国家（日本）, 江戸幕府, 鎌倉幕府",かんぱく,天皇を補佐・代行する最高権力者,
