dynasty_id,dynasty_name,region_id,region_name
1,徳川氏,8,東アジア
2,ウマイヤ朝,12,西アジア（中東）
3,アッバース朝,12,西アジア（中東）
4,ファーティマ朝,12,西アジア（中東）
4,ファーティマ朝,17,北アフリカ
5,カロリング朝,13,西ヨーロッパ
6,カペー朝,13,西ヨーロッパ
7,ヴァロワ朝,13,西ヨーロッパ
8,ブルボン朝,13,西ヨーロッパ
8,ブルボン朝,14,南ヨーロッパ
9,ハプスブルク家,34,中央ヨーロッパ
10,サファヴィー朝,12,西アジア（中東）
11,ティムール朝,11,中央アジア
12,アユタヤ朝,9,東南アジア
13,ラーマ朝,9,東南アジア
14,ホーエンツォレルン家,34,中央ヨーロッパ
15,ロマノフ家,16,東ヨーロッパ
15,ロマノフ家,35,ユーラシア北部
16,夏,8,東アジア
17,商,8,東アジア
18,西周,8,東アジア
19,東周,8,東アジア
20,秦,8,東アジア
21,前漢,8,東アジア
22,新,8,東アジア
23,後漢,8,東アジア
24,魏,8,東アジア
25,蜀漢,8,東アジア
26,呉,8,東アジア
27,西晋,8,東アジア
28,東晋,8,東アジア
29,宋（南朝）,8,東アジア
30,斉（南朝）,8,東アジア
31,梁,8,東アジア
32,陳,8,東アジア
33,北魏,8,東アジア
34,東魏,8,東アジア
35,西魏,8,東アジア
36,北斉,8,東アジア
37,北周,8,東アジア
38,隋,8,東アジア
39,唐,8,東アジア
40,後梁,8,東アジア
41,後唐,8,東アジア
42,後晋,8,東アジア
43,後漢,8,東アジア
44,後周,8,東アジア
45,北宋,8,東アジア
46,南宋,8,東アジア
47,遼,8,東アジア
48,西夏,8,東アジア
49,金,8,東アジア
50,元,8,東アジア
51,明,8,東アジア
52,清,8,東アジア
53,中華民国,8,東アジア
54,中華人民共和国,8,東アジア
55,平氏,8,東アジア
56,源氏,8,東アジア
57,北条氏,8,東アジア
58,セルジューク朝,11,中央アジア
58,セルジューク朝,12,西アジア（中東）
59,ガズナ朝,10,南アジア
59,ガズナ朝,11,中央アジア
60,マムルーク朝,12,西アジア（中東）
60,マムルーク朝,17,北アフリカ
61,グプタ朝,10,南アジア
62,デリー・スルタン朝,10,南アジア
63,チャンパー王朝,9,東南アジア
64,クメール王朝,9,東南アジア
65,メロヴィング朝,13,西ヨーロッパ
66,テューダー朝,15,北ヨーロッパ
66,テューダー朝,34,中央ヨーロッパ
67,ステュアート朝,15,北ヨーロッパ
68,ハノーヴァー朝,15,北ヨーロッパ
68,ハノーヴァー朝,34,中央ヨーロッパ
69,ヴィクトリア朝,15,北ヨーロッパ
70,リューリク朝,16,東ヨーロッパ
70,リューリク朝,35,ユーラシア北部
71,ブルボン朝（スペイン）,14,南ヨーロッパ
72,サヴォイア家,14,南ヨーロッパ
73,ナポレオン朝,13,西ヨーロッパ
74,ボナパルト家,13,西ヨーロッパ
75,藤原氏,8,東アジア
